timestamp,active_app,process_name,window_title,split_screen_detected,visible_other_apps
2026-04-30T23:41:50,File Explorer,explorer.exe,,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:52,VS Code,Code.exe,streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:54,VS Code,Code.exe,streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:56,Browser,chrome.exe,Streamlit - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:58,Browser,chrome.exe,PiFocus Dashboard - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:00,File Explorer,explorer.exe,任务切换,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:02,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:04,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | grammarly.desktop.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:06,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | grammarly.desktop.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:08,Browser,chrome.exe,PiFocus Dashboard - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:10,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:12,Browser,chrome.exe,PiFocus Dashboard - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:14,VS Code,Code.exe,streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:16,VS Code,Code.exe,streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:42:18,VS Code,Code.exe,streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
